Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,all,515000,1.0
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,3+,103000,0.2
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,1,128750,0.25
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,2,283250,0.55
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,3,103000,0.2
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Marsabit,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,all,515000,1.0
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,3+,128750,0.25
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,1,103000,0.2
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,2,283250,0.55
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,3,128750,0.25
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Marsabit,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,all,733000,1.0
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,3+,109950,0.15
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,1,219900,0.3
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,2,403150,0.55
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,3,73300,0.1
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,4,36650,0.05
Jul 2025,KEN,16617000,Others,Baringo,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,all,733000,1.0
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,3+,36650,0.05
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,1,256549,0.35
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,2,439800,0.6
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,3,36650,0.05
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Baringo,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,all,281000,1.0
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,3+,14050,0.05
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,1,168600,0.6
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,2,98350,0.35
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,3,14050,0.05
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Embu,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,all,281000,1.0
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,3+,28100,0.1
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,1,140500,0.5
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,2,112400,0.4
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,3,28100,0.1
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Embu,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,all,795000,1.0
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,3+,79500,0.1
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,1,397500,0.5
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,2,318000,0.4
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,3,79500,0.1
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Meru,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,all,795000,1.0
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,3+,119250,0.15
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,1,357750,0.45
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,2,318000,0.4
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,3,119250,0.15
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Meru,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,all,316000,1.0
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,3+,31600,0.1
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,1,158000,0.5
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,2,126400,0.4
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,3,31600,0.1
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,all,316000,1.0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,3+,47400,0.15
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,1,142200,0.45
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,2,126400,0.4
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,3,47400,0.15
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,all,1577000,1.0
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,3+,78850,0.05
