Country ISO3,Admin 1 PCode,Admin 1 Name,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty,Survey,Start Date,End Date
#country+code,#adm1+code,#adm1+name,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#meta+survey,#date+start,#date+end
KEN,,,0.1134,25.3523,44.7108,26.4044,7.4594,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE001,Mombasa,0.0518,12.8866,40.2193,16.8930,2.2801,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE002,Kwale,0.2105,44.5123,47.2996,27.2794,17.2902,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE003,Kilifi,0.2026,46.3581,43.7119,23.8772,13.1869,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE004,Tana River,0.3780,67.2861,56.1740,18.3876,44.4231,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE005,Lamu,0.1390,30.2600,45.9254,31.4410,9.9741,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE006,Taita Taveta,0.0793,19.2683,41.1796,25.3401,2.7401,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE007,Garissa,0.2910,55.2501,52.6725,24.4240,30.3679,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE008,Wajir,0.3956,73.1124,54.1107,18.1589,42.8622,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE009,Mandera,0.4612,81.3359,56.7042,11.3250,55.9011,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE010,Marsabit,0.3466,63.5606,54.5357,13.7008,39.9074,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE011,Isiolo,0.1962,39.4936,49.6851,20.7583,20.3589,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE012,Meru,0.1234,29.1670,42.3162,28.4624,6.4093,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE013,Tharaka-Nithi,0.1052,25.6435,41.0118,30.5042,5.6725,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
KEN,KE014,Embu,0.0761,18.7291,40.6388,27.1332,3.8943,DHS,2022-01-01 00:00:00+00:00,2022-12-31 23:59:59+00:00
